EmployeeNumber,Attrition,cluster,cluster_reclassificado,confianca,persona
417,No,0,0,alta,Estáveis e engajados
419,No,0,0,baixa,Estáveis e engajados
420,No,0,0,alta,Estáveis e engajados
421,No,1,1,alta,"Risco de attrition, Início de carreira"
422,No,0,0,media,Estáveis e engajados
423,No,1,1,alta,"Risco de attrition, Início de carreira"
424,No,0,0,baixa,Estáveis e engajados
425,No,0,0,alta,Estáveis e engajados
426,No,1,1,alta,"Risco de attrition, Início de carreira"
428,No,0,0,alta,Estáveis e engajados
429,No,0,0,alta,Estáveis e engajados
430,No,1,1,alta,"Risco de attrition, Início de carreira"
431,No,1,1,alta,"Risco de attrition, Início de carreira"
433,Yes,0,0,alta,Estáveis e engajados
434,No,1,1,alta,"Risco de attrition, Início de carreira"
436,No,0,0,alta,Estáveis e engajados
437,No,0,0,alta,Estáveis e engajados
438,No,0,0,alta,Estáveis e engajados
439,No,1,1,alta,"Risco de attrition, Início de carreira"
440,Yes,1,1,alta,"Risco de attrition, Início de carreira"
441,No,1,1,media,"Risco de attrition, Início de carreira"
442,No,0,0,alta,Estáveis e engajados
444,No,0,0,alta,Estáveis e engajados
445,Yes,0,0,alta,Estáveis e engajados
446,No,0,0,alta,Estáveis e engajados
447,No,0,0,alta,Estáveis e engajados
448,No,1,1,alta,"Risco de attrition, Início de carreira"
449,No,0,0,alta,Estáveis e engajados
450,No,1,1,alta,"Risco de attrition, Início de carreira"
451,No,1,1,media,"Risco de attrition, Início de carreira"
452,No,0,0,alta,Estáveis e engajados
453,No,0,0,alta,Estáveis e engajados
454,Yes,1,1,media,"Risco de attrition, Início de carreira"
455,No,1,1,alta,"Risco de attrition, Início de carreira"
456,No,0,0,alta,Estáveis e engajados
458,No,0,0,alta,Estáveis e engajados
460,No,0,0,alta,Estáveis e engajados
461,No,0,0,alta,Estáveis e engajados
462,No,1,1,alta,"Risco de attrition, Início de carreira"
463,No,0,0,alta,Estáveis e engajados
464,No,0,0,baixa,Estáveis e engajados
465,No,1,1,alta,"Risco de attrition, Início de carreira"
466,No,1,1,alta,"Risco de attrition, Início de carreira"
467,No,1,1,alta,"Risco de attrition, Início de carreira"
468,No,1,1,alta,"Risco de attrition, Início de carreira"
469,No,0,0,alta,Estáveis e engajados
470,No,0,0,media,Estáveis e engajados
471,No,1,1,alta,"Risco de attrition, Início de carreira"
473,No,0,0,baixa,Estáveis e engajados
474,No,0,0,alta,Estáveis e engajados
475,No,0,0,alta,Estáveis e engajados
476,No,0,0,alta,Estáveis e engajados
477,No,1,1,alta,"Risco de attrition, Início de carreira"
478,Yes,1,1,alta,"Risco de attrition, Início de carreira"
479,No,0,0,baixa,Estáveis e engajados
481,No,0,0,alta,Estáveis e engajados
482,No,1,1,baixa,"Risco de attrition, Início de carreira"
483,No,0,0,media,Estáveis e engajados
484,No,1,1,alta,"Risco de attrition, Início de carreira"
485,Yes,1,1,alta,"Risco de attrition, Início de carreira"
486,No,1,1,alta,"Risco de attrition, Início de carreira"
487,No,1,1,alta,"Risco de attrition, Início de carreira"
488,Yes,0,0,alta,Estáveis e engajados
491,No,1,1,alta,"Risco de attrition, Início de carreira"
492,Yes,0,0,alta,Estáveis e engajados
493,No,1,1,alta,"Risco de attrition, Início de carreira"
494,Yes,1,1,alta,"Risco de attrition, Início de carreira"
495,No,1,1,alta,"Risco de attrition, Início de carreira"
496,No,1,1,alta,"Risco de attrition, Início de carreira"
497,No,0,0,baixa,Estáveis e engajados
498,No,0,0,alta,Estáveis e engajados
499,No,1,1,alta,"Risco de attrition, Início de carreira"
500,No,0,0,alta,Estáveis e engajados
501,No,1,1,alta,"Risco de attrition, Início de carreira"
502,Yes,0,0,alta,Estáveis e engajados
505,No,1,1,alta,"Risco de attrition, Início de carreira"
507,No,0,0,alta,Estáveis e engajados
508,No,0,0,alta,Estáveis e engajados
510,Yes,1,1,alta,"Risco de attrition, Início de carreira"
511,No,1,1,alta,"Risco de attrition, Início de carreira"
513,No,0,0,alta,Estáveis e engajados
514,Yes,1,1,alta,"Risco de attrition, Início de carreira"
515,No,1,1,media,"Risco de attrition, Início de carreira"
516,No,0,0,alta,Estáveis e engajados
517,No,1,1,alta,"Risco de attrition, Início de carreira"
518,No,1,1,alta,"Risco de attrition, Início de carreira"
520,No,0,0,alta,Estáveis e engajados
521,No,1,1,alta,"Risco de attrition, Início de carreira"
522,No,0,0,media,Estáveis e engajados
523,No,0,0,alta,Estáveis e engajados
524,No,0,0,alta,Estáveis e engajados
525,No,0,0,media,Estáveis e engajados
526,No,1,1,alta,"Risco de attrition, Início de carreira"
527,No,1,1,media,"Risco de attrition, Início de carreira"
529,No,0,0,baixa,Estáveis e engajados
530,No,0,0,baixa,Estáveis e engajados
531,No,0,0,alta,Estáveis e engajados
532,No,0,0,alta,Estáveis e engajados
533,No,0,0,media,Estáveis e engajados
534,No,0,0,alta,Estáveis e engajados
536,No,0,0,media,Estáveis e engajados
538,Yes,1,1,alta,"Risco de attrition, Início de carreira"
543,No,0,0,alta,Estáveis e engajados
544,No,1,1,alta,"Risco de attrition, Início de carreira"
546,No,1,1,alta,"Risco de attrition, Início de carreira"
547,No,1,1,alta,"Risco de attrition, Início de carreira"
548,No,1,1,alta,"Risco de attrition, Início de carreira"
549,No,0,0,baixa,Estáveis e engajados
550,No,1,1,media,"Risco de attrition, Início de carreira"
551,No,1,1,media,"Risco de attrition, Início de carreira"
554,Yes,1,1,alta,"Risco de attrition, Início de carreira"
555,Yes,1,1,alta,"Risco de attrition, Início de carreira"
556,No,1,1,baixa,"Risco de attrition, Início de carreira"
558,No,0,0,alta,Estáveis e engajados
560,No,1,1,alta,"Risco de attrition, Início de carreira"
562,No,0,0,alta,Estáveis e engajados
564,No,0,0,media,Estáveis e engajados
565,Yes,1,1,alta,"Risco de attrition, Início de carreira"
566,Yes,1,1,alta,"Risco de attrition, Início de carreira"
567,No,0,0,alta,Estáveis e engajados
568,No,0,0,alta,Estáveis e engajados
569,No,0,0,alta,Estáveis e engajados
571,No,1,1,alta,"Risco de attrition, Início de carreira"
573,No,0,0,alta,Estáveis e engajados
574,No,1,1,alta,"Risco de attrition, Início de carreira"
575,No,1,1,baixa,"Risco de attrition, Início de carreira"
577,No,1,1,alta,"Risco de attrition, Início de carreira"
578,No,1,1,alta,"Risco de attrition, Início de carreira"
579,No,0,0,media,Estáveis e engajados
580,No,0,0,alta,Estáveis e engajados
581,No,0,0,alta,Estáveis e engajados
582,Yes,0,0,alta,Estáveis e engajados
584,Yes,1,1,media,"Risco de attrition, Início de carreira"
585,No,0,0,media,Estáveis e engajados
586,No,0,0,alta,Estáveis e engajados
587,Yes,1,1,media,"Risco de attrition, Início de carreira"
590,Yes,1,1,alta,"Risco de attrition, Início de carreira"
591,No,1,1,media,"Risco de attrition, Início de carreira"
592,No,0,0,alta,Estáveis e engajados
593,Yes,1,1,alta,"Risco de attrition, Início de carreira"
595,No,0,0,alta,Estáveis e engajados
597,No,1,1,alta,"Risco de attrition, Início de carreira"
599,No,0,0,alta,Estáveis e engajados
600,No,0,0,alta,Estáveis e engajados
601,No,1,1,alta,"Risco de attrition, Início de carreira"
602,No,0,0,baixa,Estáveis e engajados
604,No,0,0,alta,Estáveis e engajados
605,No,0,0,alta,Estáveis e engajados
606,No,0,0,alta,Estáveis e engajados
608,Yes,1,1,alta,"Risco de attrition, Início de carreira"
611,No,0,0,alta,Estáveis e engajados
612,No,1,1,alta,"Risco de attrition, Início de carreira"
613,No,0,0,alta,Estáveis e engajados
614,Yes,1,1,alta,"Risco de attrition, Início de carreira"
615,No,0,0,alta,Estáveis e engajados
616,No,1,1,alta,"Risco de attrition, Início de carreira"
618,No,0,0,alta,Estáveis e engajados
620,No,1,1,alta,"Risco de attrition, Início de carreira"
621,No,0,0,alta,Estáveis e engajados
622,Yes,1,1,alta,"Risco de attrition, Início de carreira"
623,No,1,1,alta,"Risco de attrition, Início de carreira"
624,No,1,1,alta,"Risco de attrition, Início de carreira"
625,No,0,0,alta,Estáveis e engajados
626,No,0,0,alta,Estáveis e engajados
630,No,0,0,alta,Estáveis e engajados
631,Yes,0,0,alta,Estáveis e engajados
632,No,0,0,alta,Estáveis e engajados
634,No,1,1,alta,"Risco de attrition, Início de carreira"
635,No,1,1,baixa,"Risco de attrition, Início de carreira"
638,No,0,0,alta,Estáveis e engajados
639,No,1,1,baixa,"Risco de attrition, Início de carreira"
641,No,0,0,alta,Estáveis e engajados
643,No,1,1,alta,"Risco de attrition, Início de carreira"
644,No,0,0,alta,Estáveis e engajados
645,No,0,0,alta,Estáveis e engajados
647,Yes,1,1,alta,"Risco de attrition, Início de carreira"
648,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
649,No,1,1,alta,"Risco de attrition, Início de carreira"
650,Yes,0,0,alta,Estáveis e engajados
652,No,1,1,alta,"Risco de attrition, Início de carreira"
653,No,0,0,alta,Estáveis e engajados
655,No,1,1,alta,"Risco de attrition, Início de carreira"
656,No,0,0,alta,Estáveis e engajados
657,No,1,1,alta,"Risco de attrition, Início de carreira"
659,No,1,1,baixa,"Risco de attrition, Início de carreira"
661,No,1,1,alta,"Risco de attrition, Início de carreira"
662,No,1,1,alta,"Risco de attrition, Início de carreira"
663,No,0,0,alta,Estáveis e engajados
664,No,0,0,media,Estáveis e engajados
665,No,1,1,alta,"Risco de attrition, Início de carreira"
666,No,1,1,baixa,"Risco de attrition, Início de carreira"
667,Yes,0,0,alta,Estáveis e engajados
669,No,1,1,baixa,"Risco de attrition, Início de carreira"
671,No,0,0,alta,Estáveis e engajados
675,No,1,1,alta,"Risco de attrition, Início de carreira"
677,No,0,0,alta,Estáveis e engajados
679,No,1,1,alta,"Risco de attrition, Início de carreira"
680,No,1,1,alta,"Risco de attrition, Início de carreira"
682,No,0,0,alta,Estáveis e engajados
683,No,0,0,alta,Estáveis e engajados
684,Yes,0,0,baixa,Estáveis e engajados
686,No,1,1,alta,"Risco de attrition, Início de carreira"
689,No,0,0,alta,Estáveis e engajados
690,No,0,0,alta,Estáveis e engajados
691,No,1,1,baixa,"Risco de attrition, Início de carreira"
692,No,0,0,alta,Estáveis e engajados
698,No,0,0,alta,Estáveis e engajados
699,No,1,1,media,"Risco de attrition, Início de carreira"
700,No,1,1,alta,"Risco de attrition, Início de carreira"
701,Yes,1,1,alta,"Risco de attrition, Início de carreira"
702,Yes,1,1,alta,"Risco de attrition, Início de carreira"
704,No,1,1,media,"Risco de attrition, Início de carreira"
705,No,1,1,media,"Risco de attrition, Início de carreira"
707,No,0,0,alta,Estáveis e engajados
709,No,0,0,media,Estáveis e engajados
710,No,1,1,alta,"Risco de attrition, Início de carreira"
712,No,0,0,alta,Estáveis e engajados
714,No,0,0,alta,Estáveis e engajados
715,No,1,1,alta,"Risco de attrition, Início de carreira"
716,No,0,0,alta,Estáveis e engajados
717,No,1,1,baixa,"Risco de attrition, Início de carreira"
720,Yes,1,1,alta,"Risco de attrition, Início de carreira"
721,No,1,1,alta,"Risco de attrition, Início de carreira"
722,No,0,0,alta,Estáveis e engajados
723,Yes,0,0,alta,Estáveis e engajados
724,No,1,1,alta,"Risco de attrition, Início de carreira"
725,No,1,1,baixa,"Risco de attrition, Início de carreira"
727,No,1,1,alta,"Risco de attrition, Início de carreira"
728,No,0,0,alta,Estáveis e engajados
729,No,0,0,alta,Estáveis e engajados
730,No,0,0,alta,Estáveis e engajados
731,No,0,0,alta,Estáveis e engajados
732,No,0,0,media,Estáveis e engajados
733,No,0,0,alta,Estáveis e engajados
734,No,0,0,alta,Estáveis e engajados
738,No,0,0,alta,Estáveis e engajados
741,Yes,1,1,alta,"Risco de attrition, Início de carreira"
742,No,1,1,baixa,"Risco de attrition, Início de carreira"
743,No,1,1,alta,"Risco de attrition, Início de carreira"
744,No,1,1,alta,"Risco de attrition, Início de carreira"
746,No,0,0,alta,Estáveis e engajados
747,No,0,0,alta,Estáveis e engajados
749,No,1,1,alta,"Risco de attrition, Início de carreira"
752,Yes,1,1,alta,"Risco de attrition, Início de carreira"
754,No,0,0,alta,Estáveis e engajados
757,No,1,1,alta,"Risco de attrition, Início de carreira"
758,No,1,1,alta,"Risco de attrition, Início de carreira"
760,No,0,0,alta,Estáveis e engajados
762,No,0,0,alta,Estáveis e engajados
763,No,1,1,alta,"Risco de attrition, Início de carreira"
764,No,1,1,alta,"Risco de attrition, Início de carreira"
766,No,0,0,alta,Estáveis e engajados
769,No,1,1,alta,"Risco de attrition, Início de carreira"
771,No,1,1,alta,"Risco de attrition, Início de carreira"
772,No,0,0,alta,Estáveis e engajados
