EmployeeNumber,cluster_kmedoids_gower,cluster_hierarquico_gower,cluster_kmeans,cluster_dbscan,cluster_gmm
333,0,1,0,0,1
334,1,1,0,0,0
335,0,1,0,0,0
336,0,1,1,0,1
337,0,1,1,0,1
338,1,1,0,0,0
339,0,1,1,0,0
340,1,1,0,0,0
341,0,1,0,0,0
342,1,1,0,0,0
343,1,1,1,0,0
346,1,1,0,0,0
347,1,1,0,0,0
349,0,1,0,0,1
350,1,1,0,0,0
351,1,1,0,0,0
352,0,1,1,0,1
353,1,1,0,0,0
355,1,1,0,0,0
359,1,1,0,0,0
361,0,1,0,0,1
362,1,1,0,0,0
363,0,1,1,0,1
364,1,1,0,0,0
366,0,1,0,0,1
367,0,1,0,0,0
369,1,1,0,0,0
372,0,1,1,0,0
373,0,1,1,0,0
374,1,1,1,0,1
376,0,1,1,0,1
377,1,1,0,0,0
378,0,1,0,0,1
379,1,1,0,0,0
380,1,1,1,0,1
381,1,1,1,0,1
382,0,1,0,0,1
384,1,1,0,0,0
385,0,1,1,0,1
386,0,1,1,0,1
387,0,1,1,0,1
388,0,1,0,0,1
389,0,1,0,0,0
390,0,1,0,0,0
391,1,1,0,0,0
392,1,1,0,0,0
393,0,1,0,0,0
394,1,1,0,0,0
395,1,1,0,0,0
396,1,1,1,0,1
397,1,1,0,0,0
399,1,1,0,0,1
401,0,1,0,0,1
403,1,1,0,0,0
404,0,1,1,0,1
405,1,1,0,0,0
406,0,1,1,0,1
407,1,1,0,0,0
408,0,1,0,0,0
410,0,1,1,0,1
411,1,1,0,0,1
412,1,1,0,0,0
416,0,1,0,0,1
417,0,1,1,0,0
419,0,1,0,0,0
420,0,1,0,0,1
421,1,1,1,0,1
422,0,1,0,0,0
423,1,1,0,0,0
424,0,1,0,-1,1
425,0,1,1,0,0
426,1,1,0,0,0
428,0,1,1,0,1
429,0,1,1,0,1
430,1,1,0,0,0
431,1,1,1,0,0
433,0,1,0,0,0
434,1,1,0,0,0
436,0,1,1,0,1
437,0,1,0,0,1
438,0,1,0,0,1
439,1,1,0,0,0
440,1,1,0,0,0
441,1,1,0,0,0
442,0,1,1,0,0
444,0,1,1,0,1
445,0,1,0,0,1
446,0,1,0,0,1
447,0,1,1,0,1
448,1,1,0,0,0
449,0,1,0,0,1
450,1,1,0,0,0
451,1,1,0,0,0
452,0,1,0,0,0
453,0,1,0,0,1
454,1,1,0,0,0
455,1,1,0,0,0
456,0,1,0,0,1
458,0,1,0,0,1
460,0,1,0,0,0
461,0,1,1,0,1
462,1,1,1,0,0
463,0,1,0,0,1
464,0,1,1,0,0
465,1,1,0,0,0
466,1,1,0,0,0
467,1,1,0,0,1
468,1,1,1,0,1
469,0,1,0,0,1
470,0,1,0,-1,1
471,1,1,0,0,0
473,0,1,1,0,1
474,0,1,0,0,0
475,0,1,0,0,1
476,0,1,0,0,1
477,1,1,0,0,0
478,1,1,0,0,1
479,0,1,0,0,1
481,0,1,1,0,1
482,1,1,0,0,0
483,0,1,0,0,0
484,1,1,0,0,1
485,1,1,0,0,1
486,1,1,0,0,0
487,1,1,0,0,0
488,0,1,0,0,1
491,1,1,0,0,0
492,0,1,0,0,1
493,1,1,0,0,0
494,1,1,0,0,1
495,1,1,0,0,0
496,1,1,0,0,0
497,0,1,0,0,0
498,0,1,0,0,1
499,1,1,0,0,0
500,0,1,0,0,1
501,1,1,0,0,0
502,0,1,0,0,1
505,1,1,1,0,1
507,0,1,0,0,1
508,0,1,0,0,1
510,1,1,0,0,0
511,1,1,0,0,0
513,0,1,0,0,1
514,1,1,0,0,0
515,1,1,1,0,0
516,0,1,0,0,1
517,1,1,0,0,0
518,1,1,0,0,0
520,0,1,1,0,1
521,1,1,0,0,0
522,0,1,1,0,1
523,0,1,0,0,1
524,0,1,1,0,0
525,0,1,0,0,0
526,1,1,0,0,0
527,1,1,0,0,1
529,0,1,1,0,0
530,0,1,0,0,0
531,0,1,1,0,1
532,0,1,1,0,1
533,0,1,0,0,1
534,0,1,0,0,1
536,0,1,0,0,0
538,1,1,0,0,0
543,0,1,1,0,0
544,1,1,0,0,0
546,1,1,1,0,1
547,1,1,0,0,0
548,1,1,0,0,0
549,0,1,1,0,1
550,1,1,0,0,0
551,1,1,0,0,0
554,1,1,0,0,1
555,1,1,0,0,1
556,1,1,0,0,0
558,0,1,1,0,1
560,1,1,0,0,0
562,0,1,0,0,0
564,0,1,1,0,1
565,1,1,0,0,0
566,1,1,0,-1,1
567,0,1,0,0,1
568,0,1,1,0,1
569,0,1,1,0,1
571,1,1,0,0,0
573,0,1,1,0,1
574,1,1,0,0,0
575,1,1,1,0,1
577,1,1,0,0,0
578,1,1,0,0,0
579,0,1,0,0,0
580,0,1,0,0,1
581,0,1,1,0,0
582,0,1,1,0,1
584,1,1,0,0,0
585,0,1,0,0,1
586,0,1,0,0,0
587,1,1,0,0,0
590,1,1,0,-1,1
591,1,1,0,0,0
592,0,1,0,0,1
593,1,1,0,0,0
595,0,1,0,0,1
597,1,1,1,0,1
599,0,1,0,0,1
600,0,1,0,0,1
601,1,1,1,0,0
602,0,1,0,0,0
604,0,1,0,0,1
605,0,1,1,0,0
606,0,1,0,0,1
608,1,1,0,-1,1
611,0,1,0,0,0
612,1,1,1,0,1
613,0,1,0,0,1
614,1,1,0,0,1
615,0,1,0,0,1
616,1,1,0,0,0
618,0,1,0,0,1
620,1,1,0,0,1
621,0,1,0,0,1
622,1,1,0,0,0
623,1,1,0,0,0
624,1,1,1,0,0
625,0,1,1,0,1
626,0,1,0,0,1
630,0,1,1,0,0
631,0,1,0,0,1
632,0,1,0,0,1
634,1,1,0,0,0
635,1,1,0,0,0
638,0,1,1,0,1
639,1,1,0,0,0
641,0,1,0,0,1
643,1,1,0,0,0
644,0,1,1,0,1
645,0,1,0,0,1
647,1,1,0,0,0
648,1,1,0,0,1
649,1,1,0,0,0
650,0,1,0,0,1
652,1,1,0,0,0
653,0,1,0,0,1
655,1,1,0,0,0
656,0,1,0,0,1
657,1,1,0,0,0
659,1,1,0,0,0
661,1,1,1,0,1
662,1,1,0,0,0
663,0,1,0,0,0
664,0,1,1,0,1
665,1,1,0,-1,1
666,1,1,0,0,1
667,0,1,0,0,1
669,1,1,0,0,1
671,0,1,1,0,1
675,1,1,0,0,0
677,0,1,0,0,1
679,1,1,0,0,0
680,1,1,0,0,0
682,0,1,1,0,1
683,0,1,0,0,0
684,0,1,0,0,1
686,1,1,0,0,0
689,0,1,1,0,0
690,0,1,0,0,1
691,1,1,1,0,0
692,0,1,1,0,0
698,0,1,1,-1,1
699,1,1,0,0,0
700,1,1,0,0,0
701,1,1,0,0,0
702,1,1,0,0,0
704,1,1,0,0,0
705,1,1,0,0,0
707,0,1,0,0,1
709,0,1,0,0,1
710,1,1,0,0,0
712,0,1,0,0,1
714,0,1,0,0,1
715,1,1,0,0,0
716,0,1,0,0,0
717,1,1,1,0,0
720,1,1,0,0,1
721,1,1,1,0,0
722,0,1,0,0,1
723,0,1,0,0,1
724,1,1,0,0,0
725,1,1,0,0,0
727,1,1,1,0,1
728,0,1,0,0,1
729,0,1,1,0,1
730,0,1,1,0,1
731,0,1,1,-1,1
732,0,1,0,0,1
733,0,1,0,0,0
734,0,1,1,-1,1
738,0,1,0,0,1
741,1,1,0,0,0
742,1,1,1,0,1
743,1,1,0,0,0
744,1,1,0,0,0
746,0,1,1,0,1
747,0,1,0,0,1
749,1,1,0,0,1
752,1,1,0,0,0
754,0,1,0,0,1
757,1,1,0,0,0
758,1,1,0,0,0
760,0,1,0,-1,1
762,0,1,1,0,0
763,1,1,0,0,0
764,1,1,0,0,0
766,0,1,0,0,1
769,1,1,0,0,0
771,1,1,0,0,0
772,0,1,0,0,0
773,1,1,0,0,0
775,1,1,0,0,0
776,0,1,1,0,1
780,1,1,0,0,0
781,0,1,0,0,1
783,0,1,0,0,1
784,1,1,0,0,0
785,1,1,0,0,1
786,0,1,0,0,1
787,0,1,1,0,1
789,0,1,0,0,1
791,0,1,0,0,0
792,1,1,0,0,0
793,1,1,0,0,0
796,0,1,0,0,1
797,1,1,0,0,0
799,1,1,0,0,0
800,0,1,0,0,1
802,1,1,0,0,0
803,1,1,1,0,0
804,1,1,0,0,0
805,1,1,0,0,1
806,0,1,0,0,0
807,0,1,0,0,0
808,0,1,0,0,1
809,0,1,1,0,1
811,1,1,0,0,0
812,1,1,0,0,0
813,1,1,0,0,0
815,0,1,1,0,1
816,1,1,0,0,0
817,0,1,1,0,1
819,1,1,0,0,1
820,0,1,1,0,1
823,0,1,0,0,0
824,0,1,0,0,0
825,0,1,1,0,1
826,1,1,0,0,0
827,1,1,0,0,0
828,1,1,0,0,0
829,0,1,0,-1,1
830,0,1,1,0,0
832,1,1,0,0,0
833,1,1,0,0,0
834,1,1,0,0,0
836,0,1,0,0,0
837,1,1,0,0,0
838,1,1,0,0,0
840,0,1,1,0,1
842,0,1,0,0,1
843,1,1,1,0,1
844,0,1,1,0,1
845,0,1,0,0,0
846,0,1,0,0,1
847,0,1,0,-1,1
848,1,1,0,0,0
850,1,1,0,0,0
851,0,1,1,0,1
852,1,1,0,0,0
854,1,1,0,0,0
855,0,1,0,0,1
856,1,1,0,0,0
857,0,1,1,0,1
859,0,1,0,0,1
861,1,1,0,0,0
862,0,1,1,0,1
864,0,1,0,0,1
865,1,1,0,0,0
867,1,1,1,0,0
868,0,1,0,0,1
869,0,1,0,-1,1
872,0,1,0,0,0
874,1,1,0,0,0
875,1,1,0,0,0
878,1,1,0,0,1
879,0,1,0,0,1
880,0,1,1,0,0
881,1,1,0,0,0
882,1,1,0,0,0
885,0,1,0,0,1
887,1,1,0,0,0
888,1,1,0,0,0
889,0,1,0,0,1
893,0,1,0,0,1
894,0,1,0,0,0
895,0,1,0,0,0
896,1,1,0,0,1
897,0,1,1,0,1
899,0,1,1,0,0
900,0,1,0,0,1
901,1,1,1,0,1
902,0,1,0,0,0
903,0,1,0,0,1
904,0,1,0,0,1
905,0,1,1,0,1
909,0,1,0,-1,1
910,0,1,0,-1,1
911,1,1,0,0,0
912,1,1,0,0,0
913,1,1,0,0,0
916,0,1,0,0,1
918,1,1,0,0,0
920,1,1,0,0,0
922,1,1,0,0,1
923,1,1,0,0,0
924,0,1,1,0,0
925,1,1,0,0,1
926,1,1,0,0,0
927,1,1,0,0,0
930,1,1,0,0,0
932,1,1,0,0,0
933,1,1,0,0,0
934,1,1,0,0,0
936,0,1,0,0,1
939,1,1,0,0,0
940,1,1,1,0,0
941,0,1,0,0,1
942,0,1,0,0,0
944,0,1,1,0,0
945,1,1,0,0,0
947,0,1,0,0,1
949,1,1,0,0,0
950,0,1,1,0,1
951,1,1,0,0,0
952,0,1,0,0,1
954,0,1,0,0,1
956,0,1,0,0,1
957,1,1,1,0,0
958,1,1,0,0,0
959,1,1,0,0,1
960,1,1,0,0,0
961,0,1,0,0,0
964,1,1,0,0,0
966,0,1,0,0,0
967,0,1,1,0,1
969,1,1,0,0,0
970,0,1,1,0,1
972,0,1,0,0,0
974,0,1,0,0,1
975,0,1,0,0,1
976,0,1,1,0,1
977,1,1,0,0,0
981,0,1,1,0,1
982,0,1,0,0,1
983,1,1,0,0,1
984,0,1,0,0,1
985,0,1,0,0,1
986,1,1,0,0,1
987,0,1,1,0,0
990,0,1,0,0,1
991,1,1,0,0,0
992,0,1,1,0,1
994,1,1,0,0,0
995,1,1,0,0,0
996,1,1,0,0,0
997,0,1,1,0,1
998,0,1,0,0,0
999,0,1,1,0,1
1001,1,1,0,0,0
1002,0,1,0,0,0
1003,1,1,0,0,1
1004,1,1,0,0,0
1005,0,1,1,0,0
1006,1,1,0,0,0
1007,0,1,1,0,0
1009,1,1,0,0,0
1010,1,1,0,0,0
1011,1,1,0,0,0
1012,1,1,0,0,0
1013,0,1,1,0,0
1014,1,1,1,0,0
1015,1,1,1,0,1
1016,1,1,0,0,0
1017,1,1,0,0,0
1018,0,1,0,0,0
1019,1,1,0,0,0
1022,1,1,0,0,0
1024,0,1,1,0,0
1025,1,1,0,0,0
1026,0,1,1,0,0
1027,1,1,0,0,0
1028,1,1,0,0,0
1029,0,1,1,0,1
1030,1,1,0,0,0
1032,1,1,1,0,0
1033,1,1,0,0,0
1034,0,1,1,0,0
1035,0,1,1,0,1
1036,0,1,0,0,1
1037,0,1,0,0,1
1038,0,1,1,0,1
1039,0,1,1,0,1
1040,0,1,1,0,1
1042,1,1,1,0,0
1043,1,1,1,0,0
1044,1,1,0,0,1
1045,0,1,1,0,1
1046,1,1,0,0,0
1047,0,1,0,0,1
1048,0,1,1,0,1
1049,1,1,0,0,1
1050,0,1,1,0,1
1052,1,1,0,0,0
1053,1,1,0,0,0
1055,1,1,0,0,1
1056,0,1,0,0,1
1060,0,1,0,0,0
1061,0,1,1,0,1
1062,1,1,0,0,0
1066,0,1,0,0,1
1068,1,1,0,0,0
1069,0,1,1,0,1
1070,0,1,1,0,1
1071,1,1,0,0,0
1073,1,1,1,0,0
1074,0,1,1,0,1
1076,0,1,0,0,1
1077,1,1,0,0,1
1079,1,1,0,0,0
1080,1,1,1,0,0
1081,1,1,0,0,0
1082,1,1,0,0,0
1083,0,1,0,0,0
1084,0,1,0,0,0
1085,1,1,0,0,0
1088,0,1,1,0,0
1092,0,1,1,0,0
1094,1,1,0,0,0
1096,0,1,0,0,0
1097,1,1,0,0,0
1098,0,1,1,-1,1
1099,0,1,0,0,0
1100,0,1,0,0,1
1101,1,1,0,0,0
1102,1,1,0,0,0
1103,1,1,0,0,0
1105,0,1,0,0,1
1106,0,1,0,0,0
1107,1,1,0,0,0
1108,1,1,0,0,0
1109,0,1,1,0,1
1111,1,1,0,0,0
1113,0,1,0,0,1
1114,0,1,0,0,1
1115,1,1,0,0,0
1116,1,1,1,0,1
1117,0,1,1,0,1
1118,1,1,1,0,0
1119,0,1,0,0,1
1120,1,1,0,0,0
1121,0,1,0,0,0
1124,0,1,1,0,1
1125,0,1,0,0,1
1126,1,1,1,0,0
1127,0,1,1,0,0
1128,0,1,1,0,1
1131,1,1,0,0,0
1132,1,1,0,0,0
1133,1,1,0,0,0
1135,0,1,0,0,1
1136,1,1,0,0,0
1137,0,1,0,0,1
1138,0,1,1,0,1
1140,1,1,0,0,0
1143,1,1,0,0,0
1148,1,1,0,0,0
1150,0,1,0,0,0
1152,0,1,0,-1,1
1154,1,1,0,0,0
1156,1,1,0,0,0
1157,1,1,0,0,1
1158,0,1,0,0,0
1160,0,1,0,0,0
1161,1,1,0,0,0
1162,1,1,0,0,0
1163,0,1,0,0,1
1164,1,1,0,0,1
1165,0,1,0,0,1
1166,1,1,1,0,1
1167,0,1,1,0,1
1171,0,1,0,0,1
1172,0,1,0,0,0
1173,1,1,0,0,0
1175,1,1,0,0,0
1177,0,1,0,0,0
1179,0,1,0,0,1
1180,1,1,0,0,0
1182,0,1,1,0,0
1184,0,1,0,0,0
1185,0,1,0,0,0
1188,1,1,0,0,1
1190,1,1,0,0,1
1191,1,1,1,0,1
1192,0,1,0,0,0
1193,1,1,0,0,0
1195,1,1,0,0,0
1196,0,1,1,0,0
1198,1,1,0,0,0
1200,1,1,0,0,0
1201,0,1,1,0,1
1202,1,1,0,0,0
1203,1,1,0,0,0
1204,0,1,1,0,1
1206,1,1,0,0,0
1207,0,1,0,-1,1
1210,1,1,0,0,0
1211,0,1,0,0,1
1212,0,1,0,0,1
1215,1,1,1,0,1
1216,0,1,0,0,0
1217,0,1,1,0,1
1218,0,1,0,0,1
1219,1,1,0,0,0
1220,0,1,0,0,1
1221,0,1,0,0,0
1224,0,1,0,0,0
1225,0,1,1,0,0
1226,1,1,0,0,1
1228,0,1,0,0,0
1231,0,1,0,-1,1
1233,0,1,0,0,1
1234,1,1,0,0,0
1235,1,1,0,0,0
1237,1,1,1,0,0
1238,0,1,0,0,0
1239,0,1,0,0,1
1240,0,1,0,0,1
1241,0,1,0,0,0
1242,1,1,1,0,1
1243,0,1,1,0,1
1244,0,1,0,0,0
1245,1,1,1,0,0
1246,1,1,0,0,0
1248,1,1,0,0,0
1249,1,1,0,0,0
1250,0,1,1,0,1
1251,0,1,0,0,0
1252,1,1,0,0,0
1254,1,1,0,0,1
1255,0,1,1,0,1
1256,1,1,1,0,1
1257,1,1,0,0,0
1258,1,1,0,0,0
1259,1,1,0,0,0
1260,0,1,0,0,0
1263,1,1,1,0,1
1264,1,1,1,0,1
1265,1,1,0,0,0
1267,0,1,1,0,1
1268,0,1,0,0,1
1269,1,1,0,0,0
1270,1,1,0,0,0
1273,1,1,0,0,1
1275,1,1,0,0,0
1277,1,1,1,0,1
1278,0,1,1,0,0
1279,1,1,0,0,0
1280,0,1,1,0,1
1281,1,1,0,0,1
1282,0,1,1,0,1
1283,0,1,1,0,0
1285,1,1,0,0,0
1286,1,1,0,0,0
1288,0,1,1,0,1
1289,0,1,0,-1,1
1291,1,1,0,0,0
1292,1,1,0,0,0
1293,0,1,1,0,1
1294,1,1,1,0,0
1295,1,1,0,0,0
1296,0,1,0,0,0
1297,1,1,0,0,0
1298,1,1,0,0,0
1299,1,1,0,0,0
1301,1,1,0,0,0
1303,1,1,0,0,0
1304,0,1,0,0,1
1306,1,1,1,0,1
1307,1,1,1,0,1
1308,1,1,0,0,0
1309,0,1,0,0,0
1310,1,1,0,0,0
1311,0,1,0,0,0
1312,0,1,0,0,0
1314,1,1,0,-1,1
1315,0,1,0,0,0
1317,1,1,1,0,1
1318,0,1,0,0,1
1319,0,1,1,0,1
1321,1,1,1,0,1
1322,1,1,0,0,0
1324,0,1,1,0,1
1329,0,1,1,0,1
1331,1,1,0,0,1
1333,1,1,0,0,0
1334,0,1,1,0,1
1336,0,1,1,0,1
1338,0,1,1,0,1
1340,1,1,0,0,0
1344,0,1,0,0,0
1346,1,1,0,0,0
1349,0,1,0,0,1
1350,1,1,0,0,0
1352,0,1,1,0,1
1355,0,1,0,0,1
1356,0,1,0,0,1
1358,0,1,0,0,0
1360,0,1,1,0,0
1361,1,1,0,0,0
1362,0,1,1,0,1
1363,1,1,1,0,0
1364,0,1,0,0,1
1367,1,1,1,0,0
1368,1,1,0,0,0
1369,0,1,0,0,0
1371,0,1,0,0,1
1372,0,1,1,0,1
1373,0,1,1,0,0
1374,1,1,0,0,0
1375,1,1,1,0,0
1377,0,1,0,0,0
1379,1,1,0,0,1
1380,0,1,0,0,1
1382,1,1,0,0,0
1383,1,1,1,0,0
1387,0,1,0,0,1
1389,0,1,0,0,0
1390,0,1,0,0,1
1391,0,1,0,0,1
1392,1,1,0,0,0
1394,1,1,0,0,0
1395,0,1,0,0,1
1396,0,1,0,0,1
1397,0,1,0,0,0
1399,0,1,0,0,1
1401,1,1,1,0,0
1402,1,1,0,0,0
1403,0,1,0,0,1
1405,1,1,0,0,0
1407,1,1,0,0,0
1408,0,1,1,-1,1
1409,1,1,0,0,0
1411,1,1,0,0,0
1412,1,1,0,0,0
1415,0,1,0,0,0
1417,1,1,0,0,0
1419,0,1,0,-1,1
1420,1,1,0,0,0
1421,1,1,0,0,0
1422,1,1,1,0,1
1423,0,1,1,0,1
1424,0,1,1,0,1
1425,1,1,0,0,1
1427,1,1,0,0,1
1428,0,1,0,0,1
1430,1,1,1,0,1
1431,1,1,0,0,0
1433,1,1,0,0,0
1434,1,1,0,0,0
1435,1,1,0,0,0
1436,0,1,0,0,1
1438,1,1,0,0,0
1439,0,1,0,0,1
1440,1,1,0,0,0
1441,1,1,0,0,0
1443,0,1,1,0,1
1445,0,1,0,0,1
1446,0,1,0,0,1
1447,1,1,0,0,0
1448,1,1,0,0,0
1449,0,1,0,0,0
1453,0,1,1,0,1
1457,0,1,1,0,1
1458,1,1,0,0,0
1459,1,1,0,0,0
1460,0,1,1,0,0
1461,1,1,0,-1,1
1464,1,1,0,0,0
1465,0,1,0,0,0
1466,0,1,0,0,1
1467,1,1,0,-1,1
1468,0,1,1,0,1
1469,0,1,0,0,1
1471,1,1,0,0,0
1472,0,1,1,0,1
1473,0,1,0,0,0
1474,1,1,0,0,0
1475,1,1,0,0,0
1477,0,1,0,0,1
1478,0,1,0,0,1
1479,0,1,0,0,1
1480,1,1,0,0,0
1481,0,1,0,0,1
1482,1,1,0,0,0
1483,0,1,0,0,0
1484,0,1,1,0,0
1485,0,1,1,0,1
1486,0,1,0,0,1
1487,1,1,0,0,1
1489,0,1,1,0,1
1492,0,1,0,0,1
1494,1,1,0,0,0
1495,1,1,0,0,1
1496,1,1,0,0,0
1497,0,1,0,0,1
1499,0,1,0,-1,1
1501,0,1,0,0,0
1502,1,1,0,0,0
1503,0,1,0,0,1
1504,1,1,0,0,0
1506,1,1,0,0,0
1507,0,1,0,0,1
1509,1,1,0,0,0
1513,1,1,0,0,0
1514,0,1,0,0,0
1515,1,1,0,0,0
1516,1,1,0,0,1
1520,1,1,1,0,1
1522,1,1,0,0,0
1523,0,1,1,0,1
1525,1,1,0,0,0
1527,0,1,1,0,1
1529,1,1,0,0,0
1533,1,1,0,0,0
1534,1,1,0,0,0
1535,0,1,0,0,1
1537,1,1,0,0,0
1539,1,1,1,0,1
1541,0,1,0,0,1
1542,0,1,0,0,0
1543,0,1,0,0,0
1544,0,1,0,0,0
1545,1,1,0,0,0
1546,1,1,0,0,0
1547,0,1,1,0,0
1548,0,1,0,0,1
1549,0,1,1,0,0
1550,0,1,1,0,1
1551,1,1,0,0,0
1552,1,1,0,0,0
1553,0,1,1,0,0
1554,0,1,0,0,1
1555,1,1,0,0,0
1556,1,1,0,0,1
1557,0,1,1,0,1
1558,1,1,0,0,0
1560,0,1,0,0,1
1562,0,1,0,0,1
1563,0,1,0,-1,1
1564,1,1,0,0,0
1568,0,1,0,0,1
1569,1,1,0,0,0
1572,0,1,1,0,0
1573,0,1,0,0,0
1574,0,1,0,0,0
1576,1,1,0,0,0
1577,1,1,0,0,0
1578,0,1,1,0,1
1580,0,1,0,0,0
1581,1,1,0,0,0
1582,0,1,0,0,1
